id,category,instruction,instruct_baseline_rouge_l,instruct_ft_rouge_l,base_baseline_rouge_l,base_ft_rouge_l,instruct_baseline_bleu,instruct_ft_bleu,base_baseline_bleu,base_ft_bleu,winner
45,general_qa,Is karaoke fun?,0.1477,0.1436,0.1519,0.1393,0.0079,0.0091,0.0073,0.0103,instruct
46,general_qa,What is the name of the meme crypto coin that Elon Musk made famous?,0.0972,0.0608,0.1418,0.0902,0.0029,0.0026,0.0058,0.0030,base
47,general_qa,How do I find my Tesla charging station?,0.0969,0.1020,0.1818,0.0876,0.0061,0.0057,0.0160,0.0056,instruct
48,general_qa,What is the trias politica?,0.2222,0.2033,0.2857,0.2039,0.0246,0.0279,0.0069,0.0269,base
49,general_qa,What are the New Rules for 2022?,0.0914,0.0853,0.1116,0.1267,0.0048,0.0036,0.0031,0.0035,base
50,information_extraction,Was Samuel Wesley the founder of the Methodist Church?,0.1048,0.1023,0.9091,0.0897,0.0307,0.0325,0.5789,0.0305,instruct
51,information_extraction,What year was Craigslist founded?,0.0625,0.0696,0.1818,0.0751,0.0078,0.0137,0.0000,0.0144,base
52,information_extraction,"From the passage provided, extract list of language drivers for Cassandra. Separate them with a comma.",0.1000,0.1205,0.7619,0.1250,0.0396,0.0012,0.0211,0.0393,base
53,information_extraction,Extract the year that the Balloon typeface was created from the following Wikipedia article.,0.0450,0.0792,0.1818,0.0985,0.0045,0.0205,0.0000,0.0342,base
54,information_extraction,"Given the lineage of this historical military aircraft, when was the Avro Arrow first flown and what were the operating ",0.1905,0.1842,0.6176,0.1299,0.0430,0.0388,0.1998,0.0205,instruct
55,information_extraction,From the passage identify the areas where cytokines can help the host immune responses. Display the results in a comma s,0.0745,0.1062,0.4615,0.0578,0.0218,0.0314,0.1792,0.0134,instruct
56,information_extraction,"Based on this paragraph, how many jobs are created by tourism in Germany?",0.0957,0.0826,0.5714,0.0822,0.0379,0.0326,0.0761,0.0139,instruct
57,information_extraction,"From the passage provided, extract the date of birth of Gandhi",0.0426,0.0449,0.2000,0.0753,0.0026,0.0077,0.0000,0.0250,base
58,information_extraction,Based on the following passage what are positive and conventional current?,0.1853,0.3146,0.3590,0.3134,0.0739,0.1892,0.0332,0.1883,instruct
59,information_extraction,What is ice hockey?,0.4490,0.2249,0.2656,0.2146,0.1836,0.0516,0.0496,0.0486,instruct
60,open_qa,Which golf tournaments are considered majors in the PGA?,0.1140,0.1088,0.0000,0.0866,0.0062,0.0313,0.0000,0.0097,instruct
61,open_qa,"What links Brazil, Uruguay, Mozambique and Angola",0.0339,0.0199,0.0952,0.0092,0.0030,0.0009,0.0102,0.0000,instruct
62,open_qa,Who wrote Democracy in America?,0.0645,0.0654,0.0843,0.0645,0.0257,0.0263,0.0084,0.0211,instruct
63,open_qa,Why is LaSalle Street in Chicago important?,0.1787,0.1394,0.1931,0.1667,0.0543,0.0462,0.0374,0.0538,base
64,open_qa,Which Baseball team won the 2016 World Series?,0.0870,0.0841,0.2857,0.0727,0.0187,0.0195,0.0632,0.0190,instruct
65,open_qa,What are the names of the different scores you can shoot for each hole when golfing?,0.1988,0.2364,0.2179,0.1349,0.0676,0.0313,0.0020,0.0227,instruct
66,open_qa,How can I improve my table tennis skills?,0.1333,0.1762,0.1439,0.1756,0.0100,0.0626,0.0280,0.0440,instruct
67,open_qa,Walter Koenig played which part in the Star Trek series,0.0132,0.0174,0.0196,0.0091,0.0012,0.0009,0.0018,0.0008,instruct
68,open_qa,What does AWS stand for?,0.1023,0.1382,0.0773,0.1167,0.0186,0.0345,0.0026,0.0188,instruct
69,open_qa,In what year did the Pac-10 Become the Pac-12?,0.1228,0.1167,0.2626,0.1071,0.0307,0.0312,0.0722,0.0329,instruct
70,summarization,"Based on this information that I have shared about Abel Janszoon Tasman, can you summarize it for me?",0.1870,0.1489,0.1553,0.1315,0.0467,0.0102,0.0031,0.0022,instruct
71,summarization,Who is Oji Hiroi,0.2069,0.3852,0.9592,0.4413,0.1040,0.1983,0.7607,0.2352,base
72,summarization,"Please give me a short bulleted list of the key events that happened in Kobe Bryant’s early life in time order, from ear",0.2784,0.2667,0.2989,0.2847,0.0759,0.0419,0.0219,0.0436,base
73,summarization,Quel a été l'impact de la révolution française ?,0.2281,0.2661,0.2778,0.2672,0.0697,0.0881,0.0578,0.0887,base
74,summarization,Please summarize the history of the development of Roche Percee based on this article,0.2491,0.1976,0.1556,0.2441,0.0492,0.0179,0.0107,0.0197,base
75,summarization,What is the movie True Spirit about?,0.2229,0.2202,0.1414,0.1513,0.0888,0.0682,0.0066,0.0046,instruct
76,summarization,Please give me a list of qualities that make the Masters is golf's top tournament unique?,0.1228,0.1391,0.0717,0.1649,0.0004,0.0020,0.0000,0.0087,base
77,summarization,Please write some key points on Booker prize from the given passage.,0.3786,0.5823,0.5415,0.4136,0.1657,0.2812,0.2669,0.1482,instruct
78,summarization,What principles does conversion rate optimization share with direct response marketing?,0.1633,0.2422,0.2573,0.2541,0.0040,0.1035,0.1070,0.1065,base
79,summarization,What are major rivers in Serbia,0.2511,0.7511,0.1030,0.4968,0.0827,0.5556,0.0028,0.4944,instruct
