id,category,instruction,reference,baseline_prediction,baseline_rouge_l,baseline_bleu,lora_prediction,lora_rouge_l,lora_bleu,qlora_prediction,qlora_rouge_l,qlora_bleu,full_fine-tune_prediction,full_fine-tune_rouge_l,full_fine-tune_bleu,best_mode
13,classification,"Classify each method of communication as ""verbal"" or ""written"": e-mail, phone call, slack chat, zoom meeting, text, post mail","E-mail: Written
Phone Call: Verbal
Slack Chat: Written
Zoom Meeting: Verbal
Text: Written
Post Mail: Written","Here are the classifications for each method of communication:

*   e-mail: written
*   phone call: verbal
*   slack chat: written
*   zoom meeting: verbal
*   text: written
*   post mail: written

##",0.1596,0.0147,"Verbal: phone call, zoom meeting, text
Written: e-mail, slack chat, post mail.  Slack is a written communication method, but it is also a chat, so it is also verbal.  Zoom is a written communication m",0.1176,0.0015,"e-mail: written
phone call: verbal
slack chat: written
zoom meeting: verbal
text: written
post mail: written

Note: Verbal communication is typically face to face or over the phone. Written communicat",0.1485,0.0693,"e-mail: written
phone call: verbal
slack chat: written
zoom meeting: verbal
text: written
post mail: written

Note: This is a subjective classification. Some people may consider phone calls and zoom m",0.1581,0.0747,Full Fine-Tune
14,classification,"Tell me which of these is a Country, a City, a River, or a Mountain: New York, Nile, Amazon, Kilimanjaro, USA, Spain, Italy, Rome, Prague, Zurich, France, San Francisco, K2, Buenos Aires, Brazil, Moun","New York - City
Nile - River
Amazon - River
Kilimanjaro - Mountain
USA - Country
Spain - Country
Italy - Country
Rome - City
Prague - City
Zurich - City
France - Country
San Francisco - City
K2 - Moun","- New York: City
- Nile: River
- Amazon: River
- Kilimanjaro: Mountain
- USA: Country
- Spain: Country
- Italy: Country
- Rome: City
- Prague: City
- Zurich: City
- France: Country
- San Francisco: Ci",0.3670,0.0023,"New York: City
Nile: River
Amazon: River
Kilimanjaro: Mountain
USA: Country
Spain: Country
Italy: Country
Rome: City
Prague: City
Zurich: City
France: Country
San Francisco: City
K2: Mountain
Buenos A",0.3704,0.0058,"New York: City
Nile: River
Amazon: River
Kilimanjaro: Mountain
USA: Country
Spain: Country
Italy: Country
Rome: City
Prague: City
Zurich: City
France: Country
San Francisco: City
K2: Mountain
Buenos A",0.3902,0.0071,"New York: City
Nile: River
Amazon: River
Kilimanjaro: Mountain
USA: Country
Spain: Country
Italy: Country
Rome: City
Prague: City
Zurich: City
France: Country
San Francisco: City
K2: Mountain
Buenos A",0.3604,0.0055,QLoRA
15,classification,"Identify which car manufacturer is Japanese or American: RAM, Toyota Motor Corporation","RAM is American, Toyota Motor Corporation is Japanese","The car manufacturer that is Japanese is: Toyota Motor Corporation
The car manufacturer that is American is: RAM (owned by Fiat Chrysler Automobiles, which is an American company)  ### Note:
RAM is an",0.0766,0.0063,"RAM is American, Toyota Motor Corporation is Japanese.  RAM is a brand of Stellantis, a multinational corporation that was formed in 2021 by the merger of Fiat Chrysler Automobiles (FCA) and the Frenc",0.0800,0.0302,"Toyota Motor Corporation is Japanese, RAM is American. RAM is a brand of trucks and vans owned by Stellantis, formerly known as Fiat Chrysler Automobiles. Toyota Motor Corporation is a Japanese multin",0.0737,0.0138,"RAM is American, Toyota Motor Corporation is Japanese.  RAM is a subsidiary of Stellantis, which is a multinational corporation that owns Chrysler, Dodge, Jeep, and RAM.  Toyota Motor Corporation is a",0.0762,0.0271,LoRA
16,classification,"Classify the following as either red wines or white wines: Cabernet Sauvignon, Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc, Merlot, Syrah, Shiraz","Red wines: Cabernet Sauvignon, Merlot, Syrah, Shiraz
White wines: Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc","Red wines: Cabernet Sauvignon, Merlot, Syrah, Shiraz
White wines: Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc

### Explanation:
The classification is based on the color of the gra",0.1726,0.0861,"Cabernet Sauvignon: Red
Pinot Blanc: White
Riesling: White
Chardonnay: White
Pinot Grigio: White
Sauvignon Blanc: White
Merlot: Red
Syrah: Red
Shiraz: Red

Note: Shiraz is the same grape as Syrah. The",0.1146,0.0031,"Red wines: Cabernet Sauvignon, Merlot, Syrah, Shiraz
White wines: Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc
Note: Shiraz and Syrah are the same wine, just referred to by differe",0.1692,0.0866,"Red wines: Cabernet Sauvignon, Merlot, Syrah, Shiraz
White wines: Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc
Note: Shiraz and Syrah are the same grape variety, but the name is us",0.1753,0.0881,Full Fine-Tune
17,classification,"Tell me whether these are pasta types or pizza types: macaroni, rigatoni, margherita, pepperoni, orzo, spaghetti, stuffed crust, Hawaiian","Pasta: macaroni, rigatoni, orzo, spaghetti
Pizza: margherita, pepperoni, stuffed crust, Hawaiian","Here are the classifications:

* macaroni: pasta
* rigatoni: pasta
* margherita: pizza
* pepperoni: pizza
* orzo: pasta
* spaghetti: pasta
* stuffed crust: pizza
* Hawaiian: pizza

Let me know if you ",0.1111,0.0017,"Macaroni, rigatoni, orzo, and spaghetti are pasta types. Margherita, pepperoni, and stuffed crust are pizza types. Hawaiian is a pizza type. It is a pizza with ham and pineapple. It is a popular pizza",0.0783,0.0057,"Pasta types: macaroni, rigatoni, orzo, spaghetti
Pizza types: margherita, pepperoni, stuffed crust, Hawaiian. Note that Hawaiian pizza is a type of pizza, but it is also a type of pasta. Hawaiian is a",0.1196,0.0266,"Macaroni, rigatoni, orzo, and spaghetti are all pasta types. Margherita, pepperoni, and stuffed crust are all pizza types. Hawaiian is a pizza type, but it is also a pasta type. Hawaiian is a type of ",0.0853,0.0063,QLoRA
18,classification,Which is a species of fish? Steelhead or Metalhead,Steelhead,"Steelhead is a species of fish. Metalhead is a colloquialism for a trout that has been caught and released multiple times, often resulting in a deformed or disfigured appearance. It is not a recognize",0.0099,0.0009,Steelhead is a species of fish. Metalhead is not a species of fish. Metalhead is a term used to describe a fan of the San Jose Sharks. It is also a term used to describe a fan of the San Francisco 49e,0.0088,0.0008,Steelhead is a species of fish. Metalhead is not a species of fish. Metalhead is a term used to describe a person who is a fan of heavy metal music. It is also a term used to describe a person who is ,0.0083,0.0007,Steelhead is a species of fish. Metalhead is a fictional character in the X-Men comics. He is a mutant with the ability to control and manipulate metal. He is a member of the X-Men and has fought alon,0.0086,0.0008,LoRA
19,classification,"Categorize the below types of animals based on whether they are domestic or non-domestic
dog, cat, badgers, cougars","domestic : dog, cat
non-domestic : badgers, cougars","Domestic: dog, cat
Non-domestic: badgers, cougars

### Explanation:
Domestic animals are those that are commonly kept as pets or used for work, and are often bred in captivity. Non-domestic animals ar",0.0667,0.0030,"Domestic: dog, cat
Non-domestic: badgers, cougars

Note: Domestic animals are animals that are commonly kept as pets or used for work. Non-domestic animals are animals that are not commonly kept as pe",0.0648,0.0030,"Domestic: dog, cat
Non-domestic: badgers, cougars
Note: Domestic animals are animals that are commonly kept as pets or used for work. Non-domestic animals are animals that are not commonly kept as pet",0.0631,0.0029,"Domestic: dog, cat
Non-domestic: badgers, cougars
Note: Domestic animals are animals that are kept by humans for companionship, food, or other purposes. Non-domestic animals are animals that are not k",0.0636,0.0029,LoRA
20,closed_qa,"What is an ""El Niño"" weather pattern?","El Niño (/ɛl ˈniːnjoʊ/ el NEEN-yoh, Spanish: [el ˈniɲo]; lit. 'The Boy') is the warm phase of the El Niño–Southern Oscillation (ENSO) and is associated with a band of warm ocean water that develops in","El Niño is a weather pattern characterized by a band of warm ocean water in the central and east-central equatorial Pacific, accompanied by high air pressure in the western Pacific and low air pressur",0.1871,0.0915,El Niño is a weather pattern that occurs when the ocean water in the Pacific Ocean warms up. This warming of the ocean water is associated with a band of warm ocean water that develops in the central ,0.2292,0.1120,"El Niño is a weather pattern that occurs when the Pacific Ocean warms up.  This warming up of the Pacific Ocean causes a shift in the jet stream, which in turn causes a shift in the weather patterns a",0.3165,0.1368,El Niño is a weather pattern that occurs when the ocean water in the Pacific Ocean warms up.  This warming of the ocean water causes changes in the weather patterns around the world.  The warming of t,0.1869,0.0056,QLoRA
21,closed_qa,"Given that preserving human brains for more than a century is fairly uncommon, what do you think was the motivation for preserving Guiteau's brain?","One reason for preserving the brain may have been to study structural abnormalities that could have explained Guiteau's violent behavior. Alternatively, because Guiteau was well-known and infamous, hi","The motivation for preserving Guiteau's brain was likely to study the brain of a person who had committed a heinous crime, such as murder, in order to gain insight into the workings of the human mind ",0.1487,0.0203,"Guiteau's brain was preserved for more than a century, which is fairly uncommon.  The motivation for preserving Guiteau's brain was likely to study the brain of a person who was convicted of murder.  ",0.1355,0.0057,Guiteau's brain was preserved because he was the assassin of President James A. Garfield.  Guiteau was convicted of Garfield's murder and executed by hanging one year after the shooting.  Guiteau's br,0.1205,0.0043,The motivation for preserving Guiteau's brain was likely to study the brain of a person who had committed a violent crime.  Guiteau was convicted of murdering President Garfield and was executed by ha,0.1439,0.0250,Full Fine-Tune
22,closed_qa,How was art used for manipulative purpose in racial discuss in the 20th century?,"In the 19th to 20th century, Europeans commonly use artworks to portray prejudice towards Middle Eastern and Asian people.","Artwork was used for manipulative purposes in racial discussions in the 20th century by portraying racialized groups in a way that reinforced stereotypes and prejudices. For example, Eugène Delacroix'",0.0756,0.0024,Artwork was used to instill prejudice in the Western populations through sexualizing and manipulating images. One of the most prominent examples of Orientalist work in art is a piece by Eugène Delacro,0.0776,0.0035,Artwork was used to instill prejudice in the Western populations through sexualizing and manipulating images. One of the most prominent examples of Orientalist work in art is a piece by Eugène Delacro,0.0779,0.0035,"In the 20th century, art was used to manipulate racial discussions. For example, Eugène Delacroix's painting Women of Algiers in their Apartment, created in 1834, portrayed three women resting in a ha",0.0885,0.0040,Full Fine-Tune
23,closed_qa,"Given this paragraph, what were the regional release dates for Viva Piñata: Party Animals?","Viva Piñata: Party Animals was released for the Xbox 360 gaming console on October 30, 2007 in North America, November 15, 2007 in Australia, November 16, 2007 in Europe, and December 6, 2007 in Japan","The regional release dates for Viva Piñata: Party Animals were October 30, 2007, in North America, November 15, 2007, in Australia, November 16, 2007, in Europe, and December 6, 2007, in Japan.  The y",0.3315,0.0873,"October 30, 2007, in North America, November 15 in Australia, November 16 in Europe, and December 6 in Japan.  The game was released on October 30, 2007, in North America, November 15 in Australia, No",0.2687,0.0442,"The game was released on October 30, 2007, in North America, November 15 in Australia, November 16 in Europe, and December 6 in Japan.  The game was released on October 30, 2007, in North America, Nov",0.2660,0.0437,"The game was released on October 30, 2007, in North America, November 15 in Australia, November 16 in Europe, and December 6 in Japan. The game was released on October 30, 2007, in North America, Nove",0.2596,0.0424,LoRA
24,closed_qa,When was Rhual constructed?,Rhual was constructed in 1634 by Evan Edwards.,Rhual was constructed in 1634.  The north wing of the current building was most likely incorporated from an older medieval house.  The east and south entrances were created in the 19th century.  The h,0.0821,0.0142,"Rhual was constructed in 1634. The house has since been built upon further, and the east and south entrances were created in the 19th century. The present building was constructed in 1634 by Evan Edwa",0.0731,0.0257,"Rhual was constructed in 1634. It was built by Evan Edwards, a member of a well established Flintshire family which traced its descent from the Welsh king Hywel Dda. He most likely incorporated an old",0.0717,0.0252,"Rhual was constructed in 1634. It was built by Evan Edwards, a member of a well established Flintshire family which traced its descent from the Welsh king Hywel Dda. He most likely incorporated an old",0.0708,0.0249,LoRA
25,closed_qa,What new economies developed because of the anti-slave treaties?,"Instead of exporting slaves, Africa began exporting palm oil, cocoa, timber, and gold.","The new economies that developed because of the anti-slave treaties were the palm oil, cocoa, timber, and gold trade. These economies formed the bedrock of West Africa's modern export trade.  The Asan",0.0744,0.0189,"The decline of the Atlantic slave trade in the 1820s caused dramatic economic shifts in local polities. The gradual decline of slave-trading, prompted by a lack of demand for slaves in the New World, ",0.0853,0.0055,"The anti-slave treaties led to the development of new economies in West Africa. The Asante Confederacy, the Kingdom of Dahomey, and the Oyo Empire all adapted to the shift in different ways. The Asant",0.0755,0.0063,"The anti-slave treaties led to the development of ""legitimate commerce"" in the form of palm oil, cocoa, timber and gold. This was the bedrock of West Africa's modern export trade. The Oyo Empire, unab",0.0891,0.0062,Full Fine-Tune
26,closed_qa,"Given a reference text about Michał Rozenfeld, tell me what he did before the war and where he's buried.",Michał Rozenfeld studied psychology before being sent to the Warsaw Ghetto during the war. He is buried at the Jewish Cemetery on Okopowa Street in Warsaw.,"Michał Rozenfeld studied psychology before the war. He is buried in a mass grave in the Jewish cemetery on Okopowa Street in Warsaw.  ### Instruction:
Given a reference text about Michał Rozenfeld, te",0.1791,0.0959,"Before the war, Michał Rozenfeld studied psychology with, among others, Tadeusz Kotarbiński. After the outbreak of World War II, Rozenfeld was sent to the Warsaw Ghetto, where he worked as a teacher. ",0.2029,0.0631,"Before the war, Michał Rozenfeld studied psychology with Tadeusz Kotarbiński. After the war broke out, he was sent to the Warsaw Ghetto, where he worked as a teacher. He belonged to the Polish Workers",0.1991,0.0636,"Before the war, Michał Rozenfeld studied psychology. He is buried in a mass grave of the People's Guard partisans in the Jewish cemetery on Okopowa Street in Warsaw. He was posthumously awarded the Si",0.1395,0.0605,LoRA
27,closed_qa,Where did peanut butter and jelly sandwiches originate?,"In 1901, the Boston Cooking School Magazine published the first known reference for a peanut butter and jelly sandwich. This magazine article called for ""three very thin layers of bread and two of fil","The first known reference for a peanut butter and jelly sandwich appeared in the Boston Cooking School Magazine in 1901. It called for ""three very thin layers of bread and two of filling, one of peanu",0.2930,0.1725,"The first known reference for a peanut butter and jelly sandwich appeared in the Boston Cooking School Magazine in 1901; it called for ""three very thin layers of bread and two of filling, one of peanu",0.2920,0.1689,"The first known reference for a peanut butter and jelly sandwich appeared in the Boston Cooking School Magazine in 1901; it called for ""three very thin layers of bread and two of filling, one of peanu",0.2952,0.1712,"The first known reference for a peanut butter and jelly sandwich appeared in the Boston Cooking School Magazine in 1901. It called for ""three very thin layers of bread and two of filling, one of peanu",0.2878,0.1659,QLoRA
28,closed_qa,"Given a reference text about Mussa Azzan Zungu, tell me his current position.",Mussa Azzan Zungu's current position is Deputy Speaker of Tanzania National Assembly.,Mussa Azzan Zungu is the current Deputy Speaker of Tanzania National Assembly.,0.8000,0.4962,Deputy Speaker of Tanzania National Assembly. He's also current Member of Parliament for Ilala constituency since 2005. He has continued to retain the parliamentary seat in 2010 & 2015. He was appoint,0.0569,0.0239,Deputy Speaker of Tanzania National Assembly. He's also current Member of Parliament for Ilala constituency since 2005. He has continued to retain the parliamentary seat in 2010 & 2015. He was appoint,0.0569,0.0239,Mussa Azzan Zungu is the current Deputy Speaker of Tanzania National Assembly. He was appointed to this position after the resignation of the former Speaker Job Ndugai. He was elected to become the cu,0.0939,0.0271,Full Fine-Tune
29,closed_qa,"Based on this questio about Kingdom Hearts, what company published it?",Square Enix,"Square Enix.  Square Enix is the company that published Kingdom Hearts.  Square Enix was originally called Square, but it was renamed in 2003.  Square Enix is a Japanese video game developer and publi",0.0191,0.0018,"Square Enix (originally by Square) published Kingdom Hearts. It is a collaboration between Square Enix and The Walt Disney Company and is under the leadership of Nomura, a longtime Square Enix employe",0.0200,0.0020,Square Enix published Kingdom Hearts.  It was originally published by Square.  Square Enix is a Japanese company.  The game was developed by Square Enix.  The game was also developed by Square.  The g,0.0211,0.0020,"Kingdom Hearts was published by Square Enix. It is a collaboration between Square Enix and The Walt Disney Company. It is under the leadership of Nomura, a longtime Square Enix employee. It is a fanta",0.0196,0.0019,QLoRA
30,creative_writing,Why do I have a belly button?,"When we were a baby we were connected to our mother through an umbilical cord that provided food, water and nutrients to help us grow. The belly button is the spot where the cord was once attached fro","You have a belly button because when you were a baby, you were inside your mother's womb. The umbilical cord, which is a special cord that connects you to your mother's placenta, was attached to your ",0.1920,0.0236,You have a belly button because you were once connected to your mother via the umbilical cord.  The umbilical cord is a tube that connects the mother's placenta to the baby's belly.  The placenta is a,0.1818,0.0229,You have a belly button because you were once a fetus inside your mother's womb.  The umbilical cord was attached to your navel and provided you with the necessary nutrients to grow.  When you were bo,0.1447,0.0287,You have a belly button because you were once a fetus inside your mother's womb.  The umbilical cord was the lifeline that kept you alive and nourished while you were growing inside your mother's womb,0.1132,0.0195,LoRA
